lat,long,freq
0,0,0
-84.420289999999994,33.8095,16
-84.420929999999998,33.708939999999998,19
-84.371229999999997,33.823459999999997,33
-84.394379999999998,33.736989999999999,63
-84.374279999999999,33.777769999999997,33
-84.535780000000003,33.725070000000002,5
-84.393749999999997,33.721640000000001,49
-84.505840000000006,33.689900000000002,21
-84.390870000000007,33.781529999999997,32
-84.399730000000005,33.699829999999999,20
-84.429159999999996,33.732140000000001,31
-84.478390000000005,33.765230000000003,33
-84.378749999999997,33.74803,26
-84.37567,33.848979999999997,47
-84.331580000000002,33.747819999999997,5
-84.396839999999997,33.764949999999999,95
-84.476590000000002,33.800469999999997,36
-84.406750000000002,33.746510000000001,70
-84.48742,33.688409999999998,58
-84.407439999999994,33.682630000000003,63
-84.360849999999999,33.809660000000001,26
-84.361220000000003,33.810380000000002,22
-84.473820000000003,33.77319,28
-84.416480000000007,33.762129999999999,95
-84.402829999999994,33.741729999999997,114
-84.485699999999994,33.75177,44
-84.441739999999996,33.862969999999997,2
-84.392610000000005,33.753869999999999,108
-84.387439999999998,33.761699999999998,132
-84.374070000000003,33.752960000000002,103
-84.359470000000002,33.847999999999999,63
-84.337040000000002,33.743400000000001,23
-84.412779999999998,33.803879999999999,87
-84.412670000000006,33.801810000000003,86
-84.405230000000003,33.745049999999999,86
-84.385339999999999,33.750959999999999,100
-84.352559999999997,33.734160000000003,11
-84.413709999999995,33.758220000000001,90
-84.410499999999999,33.77957,60
-84.448629999999994,33.710000000000001,28
-84.385540000000006,33.769289999999998,166
-84.394220000000004,33.758569999999999,67
-84.323239999999998,33.726019999999998,5
-84.369829999999993,33.847459999999998,66
-84.381590000000003,33.857500000000002,35
-84.544390000000007,33.701360000000001,8
-84.384039999999999,33.780189999999997,177
-84.480459999999994,33.70046,10
-84.493340000000003,33.727229999999999,10
-84.406120000000001,33.774250000000002,53
-84.352890000000002,33.76341,77
-84.362350000000006,33.851660000000003,189
-84.316450000000003,33.76408,9
-84.367720000000006,33.844819999999999,43
-84.513220000000004,33.767969999999998,14
-84.404650000000004,33.730260000000001,48
-84.472920000000002,33.7881,63
-84.366169999999997,33.849690000000002,36
-84.380129999999994,33.75582,39
-84.389049999999997,33.758319999999998,146
-84.491100000000003,33.781329999999997,30
-84.505859999999998,33.758940000000003,16
-84.407709999999994,33.759160000000001,20
-84.412679999999995,33.680970000000002,8
-84.425610000000006,33.800579999999997,58
-84.44453,33.710999999999999,35
-84.432760000000002,33.738120000000002,50
-84.368309999999994,33.809649999999998,67
-84.509079999999997,33.655709999999999,77
-84.423929999999999,33.713740000000001,35
-84.396479999999997,33.710079999999998,44
-84.350970000000004,33.763599999999997,69
-84.418629999999993,33.714950000000002,30
-84.421859999999995,33.771549999999998,21
-84.376360000000005,33.717550000000003,25
-84.353579999999994,33.826619999999998,23
-84.349320000000006,33.724710000000002,40
-84.388509999999997,33.680889999999998,11
-84.411900000000003,33.783450000000002,61
-84.415760000000006,33.734459999999999,43
-84.363460000000003,33.822960000000002,123
-84.467410000000001,33.709139999999998,14
-84.404859999999999,33.792310000000001,51
-84.417090000000002,33.718559999999997,29
-84.363799999999998,33.776350000000001,47
-84.393659999999997,33.679879999999997,36
-84.46181,33.722259999999999,16
-84.391300000000001,33.712989999999998,28
-84.357249999999993,33.776609999999998,32
-84.51464,33.675519999999999,10
-84.440700000000007,33.822760000000002,4
-84.526799999999994,33.741799999999998,4
-84.376019999999997,33.690710000000003,6
-84.521860000000004,33.750300000000003,6
-84.349350000000001,33.80903,10
-84.444370000000006,33.802489999999999,3
-84.35651,33.716250000000002,9
-84.419370000000001,33.74494,71
-84.347880000000004,33.758589999999998,63
-84.401319999999998,33.749639999999999,67
-84.436220000000006,33.808869999999999,37
-84.427400000000006,33.875030000000002,4
-84.451899999999995,33.768410000000003,52
-84.474050000000005,33.753770000000003,36
-84.351299999999995,33.81906,60
-84.370249999999999,33.810299999999998,52
-84.35866,33.700180000000003,40
-84.50394,33.714649999999999,1
-84.3857,33.810879999999997,3
-84.358689999999996,33.812089999999998,14
-84.374120000000005,33.812669999999997,33
-84.349159999999998,33.76634,94
-84.466800000000006,33.773330000000001,19
-84.466920000000002,33.776090000000003,24
-84.454539999999994,33.785580000000003,12
-84.406819999999996,33.719470000000001,26
-84.381550000000004,33.817970000000003,5
-84.415279999999996,33.800890000000003,42
-84.437880000000007,33.728250000000003,49
-84.351489999999998,33.691429999999997,3
-84.500820000000004,33.728259999999999,7
-84.49606,33.702190000000002,12
-84.35257,33.792819999999999,15
-84.372579999999999,33.844769999999997,58
-84.38588,33.784649999999999,89
-84.360349999999997,33.716830000000002,23
-84.392690000000002,33.810180000000003,79
-84.382829999999998,33.650770000000001,5
-84.489419999999996,33.774500000000003,21
-84.461789999999993,33.819090000000003,12
-84.409019999999998,33.682740000000003,57
-84.457639999999998,33.786850000000001,22
-84.502960000000002,33.763170000000002,29
-84.365780000000001,33.812350000000002,151
-84.449579999999997,33.738529999999997,10
-84.373909999999995,33.737130000000001,41
-84.455100000000002,33.703780000000002,25
-84.454970000000003,33.754739999999998,12
-84.346190000000007,33.756740000000001,133
-84.380219999999994,33.782020000000003,124
-84.46199,33.780880000000003,19
-84.381979999999999,33.75168,56
-84.380849999999995,33.838050000000003,52
-84.366500000000002,33.767290000000003,100
-84.350920000000002,33.723410000000001,40
-84.518540000000002,33.692100000000003,11
-84.341629999999995,33.758740000000003,27
-84.359009999999998,33.750059999999998,43
-84.402609999999996,33.76247,37
-84.404309999999995,33.767560000000003,63
-84.449860000000001,33.77122,32
-84.367909999999995,33.74962,53
-84.346599999999995,33.74006,37
-84.349010000000007,33.743580000000001,53
-84.449200000000005,33.816670000000002,17
-84.429130000000001,33.79074,25
-84.493700000000004,33.680770000000003,43
-84.496849999999995,33.685929999999999,48
-84.391120000000001,33.756889999999999,140
-84.525229999999993,33.69162,4
-84.508319999999998,33.762099999999997,20
-84.379949999999994,33.850619999999999,62
-84.42895,33.763979999999997,21
-84.365390000000005,33.688569999999999,10
-84.369240000000005,33.688699999999997,27
-84.369240000000005,33.688699999999997,27
-84.432410000000004,33.753160000000001,32
-84.372079999999997,33.715350000000001,10
-84.482590000000002,33.728960000000001,7
-84.500590000000003,33.766730000000003,22
-84.483879999999999,33.706229999999998,31
-84.420820000000006,33.727930000000001,27
-84.378119999999996,33.840400000000002,46
-84.396540000000002,33.740830000000003,84
-84.497510000000005,33.746000000000002,25
-84.361130000000003,33.825699999999998,20
-84.417500000000004,33.797159999999998,12
-84.420590000000004,33.756100000000004,51
-84.427520000000001,33.849420000000002,14
-84.480119999999999,33.719549999999998,12
-84.424499999999995,33.811720000000001,15
-84.509360000000001,33.743659999999998,39
-84.364500000000007,33.852089999999997,39
-84.408169999999998,33.725099999999998,38
-84.381069999999994,33.721249999999998,24
-84.384889999999999,33.705089999999998,41
-84.364199999999997,33.754420000000003,49
-84.516210000000001,33.692309999999999,21
-84.417379999999994,33.740569999999998,103
-84.378050000000002,33.765219999999999,31
-84.311620000000005,33.744619999999998,14
-84.358080000000001,33.763950000000001,46
-84.440039999999996,33.85839,3
-84.334760000000003,33.729790000000001,9
-84.408349999999999,33.781959999999998,68
-84.400959999999998,33.708159999999999,15
-84.341980000000007,33.799550000000004,1
-84.358000000000004,33.839230000000001,30
-84.433300000000003,33.796810000000001,19
-84.414209999999997,33.73516,45
-84.356710000000007,33.736710000000002,20
-84.369770000000003,33.717979999999997,15
-84.487750000000005,33.752940000000002,19
-84.435239999999993,33.742530000000002,43
-84.447249999999997,33.792850000000001,18
-84.354799999999997,33.700519999999997,11
-84.382530000000003,33.843580000000003,46
-84.433070000000001,33.853209999999997,2
-84.323260000000005,33.759509999999999,12
-84.508660000000006,33.697369999999999,9
-84.375870000000006,33.763680000000001,41
-84.378969999999995,33.712569999999999,38
-84.410659999999993,33.715699999999998,25
-84.469290000000001,33.798969999999997,15
-84.377179999999996,33.752859999999998,50
-84.360119999999995,33.69323,20
-84.404640000000001,33.8827,2
-84.453450000000004,33.706890000000001,29
-84.511390000000006,33.699959999999997,15
-84.473100000000002,33.808549999999997,17
-84.474050000000005,33.812890000000003,21
-84.362729999999999,33.754420000000003,34
-84.391840000000002,33.72851,39
-84.347390000000004,33.776260000000001,18
-84.494979999999998,33.781889999999997,27
-84.425579999999997,33.763599999999997,31
-84.408690000000007,33.80077,49
-84.417699999999996,33.700890000000001,14
-84.400469999999999,33.785890000000002,47
-84.340999999999994,33.737879999999997,10
-84.447699999999998,33.641840000000002,60
-84.429320000000004,33.640650000000001,12
-84.443979999999996,33.639699999999998,17
-84.415940000000006,33.874040000000001,2
-84.330380000000005,33.718980000000002,6
-84.426940000000002,33.740380000000002,24
-84.444130000000001,33.761479999999999,21
-84.396929999999998,33.793340000000001,49
-84.398319999999998,33.785870000000003,50
-84.361490000000003,33.774000000000001,49
-84.482799999999997,33.773629999999997,19
-84.50188,33.777439999999999,9
-84.414820000000006,33.681710000000002,20
-84.395570000000006,33.752679999999998,117
-84.426299999999998,33.719650000000001,27
-84.511380000000003,33.677149999999997,18
-84.447130000000001,33.82114,13
-84.380309999999994,33.706780000000002,45
-84.414649999999995,33.774610000000003,43
-84.367490000000004,33.822090000000003,88
-84.490740000000002,33.752569999999999,32
-84.325479999999999,33.747799999999998,11
-84.43956,33.745240000000003,34
-84.476299999999995,33.764969999999998,19
-84.343580000000003,33.736609999999999,27
-84.451490000000007,33.70055,16
-84.385069999999999,33.67268,20
-84.369690000000006,33.788310000000003,51
